Source,Target
424694,369192
424694,10139
424694,1420
424694,152532
424694,397538
450465,155
450465,49026
450465,1924
450465,272
450465,141052
504172,4836
504172,436
504172,6977
504172,708
504172,4982
332562,25196
332562,525
332562,254470
332562,458737
332562,6477
446807,65754
446807,198663
446807,395990
446807,262504
446807,460071
405774,131631
405774,198663
405774,294254
405774,428078
405774,185
369972,3558
369972,48231
369972,171274
369972,157336
369972,281957
426426,171274
426426,112160
426426,13
426426,483353
426426,2604
375262,449176
375262,424694
375262,26280
375262,184352
375262,10139
429197,5915
429197,424
429197,769
429197,640
429197,274479
433249,76341
433249,119450
433249,157336
433249,263115
433249,336843
487558,424
487558,769
487558,300671
505954,423
505954,424
505954,369885
505954,637
505954,228150
451915,487558
451915,424
451915,769
451915,300671
484247,336843
484247,101299
484247,346364
484247,454983
484247,169917
337167,281957
337167,392044
337167,341174
337167,867
337167,11027
281957,395834
281957,49021
281957,336843
281957,379149
281957,8999
401469,531593
401469,520360
401469,402900
401469,339403
401469,949
438808,4982
438808,754
438808,429203
438808,504172
438808,257088
489999,300668
489999,338970
489999,284276
489999,340677
489999,277685
440161,510
440161,429
440161,8966
440161,281957
440161,465136
399360,281957
399360,290512
399360,309050
399360,75174
399360,581
210577,75780
210577,346364
210577,392044
210577,346685
16869,369885
16869,2253
16869,637
398173,10781
398173,1696
398173,12521
398173,5486
398173,984
446021,77
446021,472715
446021,2604
446021,13
446021,1368
8966,12689
8966,24021
8966,50619
8966,466282
8966,24418
458594,10781
458594,45569
458594,357096
458594,156022
458594,238636
315635,1924
315635,1452
315635,8536
315635,13640
315635,9531
470044,281957
470044,392044
470044,133805
470044,671
470044,674
537996,995
537996,10156
537996,9394
537996,872
537996,14128
447332,405774
447332,381283
447332,19908
447332,110415
196867,11224
196867,15157
196867,150689
196867,407655
196867,9325
311291,400579
311291,447332
311291,340613
311291,787
311291,6637
340613,843
340613,346685
340613,8999
340613,11004
340613,340666
569547,157353
569547,62
569547,78
569547,296
569547,335984
263115,141052
263115,1924
263115,272
263115,49521
407436,34584
407436,10140
407436,281957
